video_id,upload_date,title,category,video_length_sec,views,likes,comments,shares,impressions,ctr_percent,avg_view_duration_sec,watch_time_hours,estimated_revenue_usd,rpm_usd,traffic_source_primary,subs_gained,contains_sponsor,is_shorts_video,is_monetized
VID00025,2023-11-28,Video Title 25,Music,469,101826,5346,1792,320,1495242,5.81,237,6703.54,319.92,3.14,Browse,176,0,0,0
VID00026,2023-07-24,Video Title 26,Education,626,63089,3996,1251,493,863050,6.31,317,5555.34,90.26,1.43,Shorts,60,1,1,0
VID00027,2022-11-15,Video Title 27,Music,323,51140,2343,938,400,1022800,4.0,218,3096.81,148.39,2.9,Shorts,0,0,0,0
VID00028,2023-03-17,Video Title 28,Food,690,53600,4011,566,204,906937,4.91,218,3245.78,130.95,2.44,External,130,0,0,0
VID00029,2023-11-21,Video Title 29,Vlog,455,68405,6739,542,321,1551133,3.41,204,3876.28,234.04,3.42,Search,139,0,1,0
VID00030,2022-07-29,Video Title 30,Education,529,19316,1395,238,55,858488,1.25,302,1620.4,34.94,1.81,External,224,1,1,1
VID00031,2022-07-09,Video Title 31,Motivation,455,42278,2327,681,413,671079,5.3,207,2430.98,111.61,2.64,Suggested,31,0,0,0
VID00032,2024-02-18,Video Title 32,Gaming,1044,57,4,0,0,824,5.91,288,4.56,0.06,1.05,Suggested,200,1,1,0
VID00033,2022-07-18,Video Title 33,Review,596,61976,2392,759,583,969890,5.39,227,3907.93,115.89,1.87,Shorts,285,0,0,1
VID00034,2024-01-06,Video Title 34,Review,346,69415,6400,1219,258,2253733,2.08,131,2525.93,236.17,3.4,Shorts,93,1,0,1
VID00035,2023-12-06,Video Title 35,Food,797,35504,2315,369,285,649067,4.47,215,2120.38,80.07,2.26,External,29,1,1,0
VID00036,2023-06-26,Video Title 36,Food,306,97219,5974,1739,767,3641161,1.67,179,4833.94,153.34,1.58,External,91,0,0,0
VID00037,2022-03-30,Video Title 37,Food,650,13227,939,146,95,164310,7.05,252,925.89,14.88,1.12,Browse,120,1,0,0
VID00038,2024-07-29,Video Title 38,Food,129,6068,447,60,58,138855,3.37,178,300.03,16.38,2.7,Suggested,159,0,0,0
VID00039,2025-01-03,Video Title 39,Food,281,56733,1987,670,257,719961,6.88,305,4806.55,144.16,2.54,External,78,0,0,0
VID00040,2022-09-13,Video Title 40,Tech,647,81412,6332,1338,177,1097196,6.42,244,5517.92,147.33,1.81,Search,228,0,1,0
VID00041,2024-02-15,Video Title 41,Finance,777,100517,4717,692,708,2161655,3.65,239,6673.21,338.5,3.37,Browse,41,1,0,1
VID00042,2022-06-11,Video Title 42,Review,641,36233,2897,287,274,842627,3.3,289,2908.7,31.16,0.86,External,0,1,0,0
VID00043,2023-08-24,Video Title 43,Food,572,82360,7212,1587,508,1261255,5.53,307,7023.48,133.43,1.62,Shorts,197,0,0,0
VID00044,2024-01-11,Video Title 44,Gaming,527,48844,4214,372,139,1032642,3.73,248,3364.81,160.54,3.29,External,0,1,1,0
VID00045,2023-01-29,Video Title 45,Tech,245,44821,3078,605,248,728796,5.15,203,2527.41,74.7,1.67,Shorts,105,0,0,0
VID00046,2022-05-23,Video Title 46,Education,427,76509,5081,1047,291,1449034,4.28,143,3039.11,113.32,1.48,Shorts,338,1,0,0
VID00047,2022-04-04,Video Title 47,Education,489,69569,2782,858,337,2089159,2.33,208,4019.54,156.0,2.24,Suggested,119,0,0,0
VID00048,2023-04-12,Video Title 48,Comedy,853,2708,228,39,18,102188,1.65,212,159.47,8.19,3.02,Suggested,41,0,0,0
VID00049,2023-08-16,Video Title 49,Finance,682,94296,4620,796,726,1487318,5.34,256,6705.49,101.7,1.08,External,115,0,0,0
VID00050,2022-06-13,Video Title 50,Education,176,91402,5919,1214,282,1771356,4.16,229,5814.18,305.85,3.35,External,116,0,0,0
VID00051,2023-04-22,Video Title 51,Food,677,31233,1558,330,145,604119,4.17,291,2524.67,92.03,2.95,Search,131,0,1,0
VID00052,2022-07-26,Video Title 52,Review,507,61874,2435,923,211,878892,6.04,213,3660.88,79.78,1.29,Browse,166,0,0,0
VID00053,2024-02-18,Video Title 53,Comedy,437,64820,4801,461,180,835309,6.76,246,4429.37,176.47,2.72,Browse,47,0,0,0
VID00054,2023-07-24,Video Title 54,Vlog,746,57820,1954,784,465,1034347,4.59,321,5155.62,106.35,1.84,External,238,1,0,0
VID00055,2024-07-17,Video Title 55,Tech,847,33490,2759,260,307,610018,4.49,270,2511.75,63.17,1.89,Suggested,137,0,0,0
VID00056,2024-01-18,Video Title 56,Vlog,823,29851,1559,274,129,442237,5.75,246,2039.82,87.01,2.91,Search,170,1,0,0
VID00057,2022-11-30,Video Title 57,Vlog,398,49233,1477,407,382,1243257,2.96,213,2912.95,167.37,3.4,Browse,76,0,0,0
VID00058,2024-01-29,Video Title 58,Food,525,85181,5603,659,772,1345671,5.33,212,5016.21,97.27,1.14,External,210,0,0,0
VID00059,2023-12-29,Video Title 59,Vlog,679,66308,2206,1152,571,970834,5.83,198,3646.94,128.35,1.94,Suggested,102,0,0,0
VID00060,2023-03-06,Video Title 60,Vlog,834,38881,1918,361,102,553860,6.02,217,2343.66,81.59,2.1,Suggested,139,1,0,0
VID00061,2023-07-01,Video Title 61,Education,484,73150,5814,1383,702,2367313,2.09,295,5994.24,132.84,1.82,Suggested,54,1,0,0
VID00062,2022-05-27,Video Title 62,Motivation,555,35456,1219,693,155,729547,3.86,236,2324.34,63.13,1.78,Shorts,50,0,0,0
VID00063,2022-12-17,Video Title 63,Comedy,334,84462,7496,1146,342,1804743,3.68,169,3965.02,79.49,0.94,Suggested,168,0,0,0
VID00064,2024-12-29,Video Title 64,Vlog,312,2191,66,15,3,35626,5.15,356,216.67,5.81,2.65,External,88,0,0,0
VID00065,2023-05-17,Video Title 65,Finance,795,39126,1849,415,210,582232,5.72,269,2923.58,77.38,1.98,Search,60,0,1,0
VID00066,2022-12-01,Video Title 66,Gaming,925,16409,1343,278,32,198896,7.25,165,752.08,21.76,1.33,External,74,1,0,0
VID00067,2024-08-04,Video Title 67,Comedy,582,11159,581,117,36,212148,4.26,223,691.24,33.51,3.0,Suggested,168,0,0,0
VID00068,2024-02-17,Video Title 68,Finance,840,84824,3149,534,326,1615695,4.25,256,6031.93,251.67,2.97,Search,75,0,1,0
VID00069,2023-07-07,Video Title 69,Gaming,686,35968,1986,480,297,465906,6.72,352,3516.87,76.01,2.11,Browse,111,1,0,1
VID00070,2023-03-26,Video Title 70,Vlog,445,60395,2954,1067,536,937810,5.44,183,3070.08,96.98,1.61,Browse,121,1,1,0
VID00071,2023-10-27,Video Title 71,Motivation,686,48592,4324,823,180,615088,6.9,308,4157.32,122.59,2.52,External,0,0,0,0
VID00072,2022-04-25,Video Title 72,Music,969,64311,3339,490,561,1000171,5.43,333,5948.77,101.48,1.58,Search,17,0,0,0
VID00073,2023-04-15,Video Title 73,Review,591,52304,4457,789,455,1227793,3.26,212,3080.12,75.17,1.44,External,143,0,0,0
VID00074,2022-03-07,Video Title 74,Finance,975,11510,1063,95,90,287750,3.0,233,744.95,31.91,2.77,Search,68,0,1,0
VID00075,2023-10-09,Video Title 75,Vlog,28,79888,4822,660,185,2176784,2.67,187,4149.74,72.61,0.91,Search,193,0,0,0
VID00076,2024-04-01,Video Title 76,Comedy,797,35187,3296,637,253,503390,5.99,237,2316.48,37.15,1.06,External,187,1,0,0
VID00077,2023-07-03,Video Title 77,Education,620,3302,186,28,31,42442,6.78,247,226.55,2.7,0.82,Search,170,1,0,0
VID00078,2022-05-16,Video Title 78,Vlog,528,37156,3622,332,265,423671,7.77,289,2982.8,45.07,1.21,Suggested,247,0,0,0
VID00079,2023-03-09,Video Title 79,Music,622,95022,3444,476,378,1308842,6.26,315,8314.42,93.72,0.99,Search,114,0,0,0
VID00080,2023-10-07,Video Title 80,Vlog,122,75506,5896,1363,415,975529,6.74,205,4299.65,263.42,3.49,Search,165,0,0,0
VID00081,2023-03-12,Video Title 81,Vlog,547,39540,2552,667,269,770760,4.13,131,1438.82,62.46,1.58,External,79,0,0,0
VID00082,2024-10-19,Video Title 82,Review,685,39522,2258,569,221,925573,3.27,248,2722.63,47.55,1.2,Browse,291,0,0,0
VID00083,2024-03-21,Video Title 83,Education,954,40350,2997,655,83,554258,6.28,267,2992.62,58.54,1.45,Shorts,258,0,0,0
VID00084,2024-07-28,Video Title 84,Finance,475,112302,8902,817,427,1693846,5.63,264,8235.48,373.69,3.33,Search,120,0,0,0
VID00085,2022-10-20,Video Title 85,Food,405,61458,1862,729,505,997694,5.16,230,3926.48,135.48,2.2,Shorts,147,0,0,0
VID00086,2023-06-27,Video Title 86,Food,479,62901,2622,645,550,955942,5.58,257,4490.43,112.28,1.79,Search,215,0,0,0
VID00087,2022-10-13,Video Title 87,Comedy,819,80908,6465,518,180,1248580,5.48,340,7641.31,255.52,3.16,External,109,0,1,0
VID00088,2023-05-21,Video Title 88,Motivation,678,57163,4381,702,547,720844,6.93,272,4318.98,106.69,1.87,External,74,0,0,0
VID00089,2023-06-23,Video Title 89,Vlog,472,42228,4122,794,167,531838,6.94,227,2662.71,71.98,1.7,Search,181,0,0,0
VID00090,2024-05-27,Video Title 90,Comedy,723,44109,3673,247,307,646759,5.82,219,2683.3,59.97,1.36,External,125,0,0,0
VID00091,2024-03-28,Video Title 91,Motivation,623,47851,4620,448,371,658198,6.27,239,3176.77,87.09,1.82,External,132,0,0,0
VID00092,2024-01-12,Video Title 92,Finance,832,48883,3870,396,406,722053,5.77,348,4725.36,80.9,1.65,Search,61,0,0,0
VID00093,2023-03-26,Video Title 93,Finance,431,71828,3653,615,683,1352693,4.31,239,4768.58,188.82,2.63,Browse,0,1,0,0
VID00094,2022-10-11,Video Title 94,Education,521,51558,1927,960,196,723113,6.13,248,3551.77,81.56,1.58,Search,136,0,0,0
VID00095,2024-11-09,Video Title 95,Food,505,71979,6098,865,628,1840895,2.91,221,4418.71,169.76,2.36,Browse,183,0,1,0
VID00096,2024-10-07,Video Title 96,Food,248,47578,3572,570,103,627678,6.58,315,4163.08,46.53,0.98,External,104,0,1,0
VID00097,2022-07-06,Video Title 97,Comedy,671,52359,1747,859,384,1243681,3.21,367,5337.71,68.93,1.32,Browse,220,0,0,0
VID00098,2022-04-07,Video Title 98,Review,662,9946,549,72,76,154681,5.43,277,765.29,18.9,1.9,External,70,1,0,0
VID00099,2022-08-13,Video Title 99,Food,601,77489,7514,953,550,1638245,3.73,254,5467.28,258.02,3.33,Browse,46,1,1,0
VID00100,2022-11-10,Video Title 100,Review,543,60394,3927,691,197,884245,5.83,252,4227.58,109.83,1.82,Browse,115,0,0,0
VID00101,2022-11-24,Video Title 101,Review,260,79940,4819,1115,708,1343529,4.95,106,2353.79,207.28,2.59,Search,114,0,0,0
VID00102,2024-05-14,Video Title 102,Finance,499,36887,2288,737,92,1021800,2.61,294,3012.44,54.91,1.49,Browse,173,0,0,0
VID00103,2022-05-11,Video Title 103,Education,517,112651,5026,1863,167,1699110,5.63,258,8073.32,128.76,1.14,External,65,0,0,0
VID00104,2024-02-28,Video Title 104,Comedy,407,45812,2556,502,341,893021,4.13,275,3499.53,43.89,0.96,Search,215,0,0,0
VID00105,2024-02-21,Video Title 105,Gaming,561,83245,4652,1449,439,1137226,6.32,207,4786.59,135.24,1.62,Browse,257,0,1,0
VID00106,2024-08-16,Video Title 106,Comedy,696,18802,632,142,162,313366,5.0,226,1180.35,23.05,1.23,Search,117,0,1,1
VID00107,2024-12-19,Video Title 107,Review,1052,68383,5725,373,304,1037678,5.59,225,4273.94,86.83,1.27,Shorts,207,0,0,0
VID00108,2023-05-30,Video Title 108,Motivation,641,18397,1088,148,46,403442,3.56,311,1589.3,52.51,2.85,Search,46,1,1,0
VID00109,2022-01-24,Video Title 109,Motivation,661,31286,2739,316,266,611054,4.12,227,1972.76,26.37,0.84,Shorts,195,0,0,0
VID00110,2022-08-23,Video Title 110,Education,582,107420,9616,1359,638,2022975,4.31,374,11159.74,247.72,2.31,Shorts,193,0,0,0
VID00111,2025-01-04,Video Title 111,Finance,139,44279,1985,629,119,607393,6.29,275,3382.42,80.79,1.82,Search,180,0,0,0
VID00112,2023-07-01,Video Title 112,Finance,593,56522,4296,1054,422,663403,7.52,173,2716.2,122.52,2.17,External,118,0,0,0
VID00113,2023-11-28,Video Title 113,Review,614,76102,4798,962,426,1588768,3.79,242,5115.75,176.53,2.32,External,0,1,0,0
VID00114,2022-08-17,Video Title 114,Review,1191,64870,5942,812,417,851312,6.62,210,3784.08,106.78,1.65,External,75,0,0,0
VID00115,2023-08-25,Video Title 115,Music,553,54512,2458,313,280,1982254,1.75,118,1786.78,87.04,1.6,Suggested,76,1,1,0
VID00116,2024-06-09,Video Title 116,Music,672,60948,4720,336,515,1447695,3.21,345,5840.85,169.45,2.78,Shorts,51,0,1,0
VID00117,2022-11-20,Video Title 117,Review,591,122102,8857,1619,1033,2677675,3.56,292,9903.83,384.92,3.15,Search,128,1,1,0
VID00118,2024-07-18,Video Title 118,Food,319,48271,2445,558,356,1215894,2.97,281,3767.82,63.72,1.32,External,90,1,0,0
VID00119,2022-01-07,Video Title 119,Comedy,874,56032,2216,985,109,1547845,2.62,259,4031.19,59.59,1.06,External,62,0,0,0
VID00120,2023-06-24,Video Title 120,Food,780,81519,6164,604,696,1231404,5.62,167,3781.58,262.82,3.22,Search,45,0,0,0
VID00121,2024-10-22,Video Title 121,Finance,789,83165,6794,446,585,1464172,4.68,220,5082.31,145.1,1.74,Shorts,69,1,1,1
VID00122,2023-01-01,Video Title 122,Gaming,381,85610,4459,1004,622,1303044,5.57,300,7134.17,195.92,2.29,Search,198,0,0,0
VID00123,2024-11-05,Video Title 123,Comedy,936,69161,5196,592,295,982400,6.04,186,3573.32,122.47,1.77,Suggested,73,0,0,0
VID00124,2022-08-06,Video Title 124,Food,263,15709,905,90,140,245453,5.4,98,427.63,17.9,1.14,Suggested,83,0,0,0
VID00125,2023-09-04,Video Title 125,Food,740,99002,7912,1571,745,1416337,5.99,236,6490.13,236.73,2.39,Search,88,0,1,0
VID00126,2024-11-05,Video Title 126,Tech,1125,15609,685,104,31,264559,4.9,241,1044.94,34.62,2.22,Shorts,143,0,0,0
VID00127,2023-02-12,Video Title 127,Comedy,362,59079,5453,834,275,1399976,3.22,258,4234.0,79.64,1.35,External,151,0,0,0
VID00128,2022-11-10,Video Title 128,Gaming,464,27371,1371,252,245,360619,6.59,293,2227.7,55.29,2.02,Suggested,0,0,0,0
VID00129,2024-02-05,Video Title 129,Education,623,48075,2679,365,68,938964,4.12,288,3846.0,141.91,2.95,Suggested,191,0,1,0
VID00130,2022-11-27,Video Title 130,Education,479,59862,2039,640,577,1301347,3.6,265,4406.51,143.32,2.39,Shorts,220,1,0,0
VID00131,2024-12-22,Video Title 131,Food,227,59640,2254,1015,424,1040837,4.73,321,5317.9,63.32,1.06,Suggested,46,0,1,0
VID00132,2022-01-02,Video Title 132,Review,616,62657,4142,681,418,1353282,3.63,158,2749.95,142.84,2.28,Suggested,51,1,1,0
VID00133,2023-10-26,Video Title 133,Gaming,345,98411,4795,1600,338,1832607,4.37,280,7654.19,265.45,2.7,Shorts,88,1,0,0
VID00134,2024-09-27,Video Title 134,Gaming,713,63606,5628,437,206,975552,5.52,287,5070.81,187.02,2.94,Search,67,1,0,0
VID00135,2022-02-09,Video Title 135,Finance,379,42675,1324,708,404,654524,5.52,175,2074.48,106.63,2.5,External,135,1,0,0
VID00136,2022-08-18,Video Title 136,Motivation,971,78922,4461,675,290,1697247,3.65,159,3485.72,95.67,1.21,External,0,1,0,0
VID00137,2024-01-14,Video Title 137,Tech,412,85684,4593,1299,683,1625882,4.27,205,4879.23,232.84,2.72,Suggested,41,1,0,1
VID00138,2023-09-22,Video Title 138,Finance,522,13171,412,177,59,173074,6.61,210,768.31,34.62,2.63,External,227,0,0,0
VID00139,2023-05-06,Video Title 139,Gaming,795,67922,2628,1286,153,1007744,5.74,295,5565.83,58.82,0.87,Search,55,0,0,0
VID00140,2022-04-29,Video Title 140,Vlog,304,71035,4187,767,77,779747,8.11,213,4202.9,135.8,1.91,Suggested,207,1,0,0
VID00141,2023-05-09,Video Title 141,Review,654,41073,2649,246,242,528610,6.77,198,2259.02,69.78,1.7,External,144,0,0,0
VID00142,2022-06-11,Video Title 142,Gaming,913,91271,5321,482,892,1182266,6.72,213,5400.2,237.98,2.61,Browse,0,1,0,0
VID00143,2022-06-25,Video Title 143,Tech,214,45498,3055,791,196,1160663,2.92,317,4006.35,62.95,1.38,Browse,164,1,1,0
VID00144,2024-09-22,Video Title 144,Gaming,644,53767,3852,692,226,751986,6.15,250,3733.82,128.79,2.4,Browse,111,0,0,0
VID00145,2022-05-22,Video Title 145,Comedy,662,44807,1375,745,183,756875,4.92,239,2974.69,146.32,3.27,Browse,88,1,0,0
VID00146,2024-12-26,Video Title 146,Comedy,787,50467,3153,429,286,976150,4.17,243,3406.52,149.08,2.95,Browse,137,0,1,0
VID00147,2022-09-15,Video Title 147,Music,303,17111,1667,174,84,273776,5.25,327,1554.25,56.26,3.29,Suggested,153,0,0,0
VID00148,2022-09-20,Video Title 148,Tech,283,6798,450,37,60,91617,6.42,205,387.11,23.4,3.44,Shorts,169,0,0,1
VID00149,2024-08-31,Video Title 149,Food,725,97835,7575,1900,542,1449407,5.75,328,8913.86,81.09,0.83,Shorts,202,0,0,0
VID00150,2022-12-05,Video Title 150,Motivation,671,24591,1274,369,136,525448,3.68,262,1789.68,61.02,2.48,Suggested,148,0,1,0
VID00151,2023-06-27,Video Title 151,Food,660,20258,1705,384,45,284922,6.11,240,1350.53,38.79,1.91,Suggested,23,0,0,0
VID00152,2024-12-16,Video Title 152,Motivation,683,14601,1228,131,143,289702,4.04,400,1622.33,45.58,3.12,Search,86,0,1,0
VID00153,2024-05-16,Video Title 153,Motivation,436,30831,2049,436,100,487061,5.33,186,1592.94,45.63,1.48,Shorts,326,1,1,0
VID00154,2023-03-10,Video Title 154,Motivation,655,10307,1013,156,17,186046,4.54,228,652.78,35.55,3.45,Browse,170,0,0,0
VID00155,2023-02-16,Video Title 155,Education,670,99260,3850,969,691,1750617,4.67,176,4852.71,243.88,2.46,Suggested,285,0,0,0
VID00156,2023-10-01,Video Title 156,Motivation,428,80294,2504,1422,510,1122993,6.15,307,6847.29,236.27,2.94,Browse,217,0,0,0
VID00157,2024-03-28,Video Title 157,Gaming,1047,29355,2463,563,139,661148,3.44,351,2862.11,30.27,1.03,Shorts,136,1,0,0
VID00158,2024-02-04,Video Title 158,Vlog,713,117573,10170,2148,564,1318082,7.92,350,11430.71,152.3,1.3,External,141,1,0,0
VID00159,2024-06-16,Video Title 159,Tech,314,79452,3052,1278,640,2429724,2.27,323,7128.61,226.25,2.85,External,117,0,0,0
VID00160,2024-11-25,Video Title 160,Vlog,757,40255,1956,368,111,789313,4.1,238,2661.3,34.59,0.86,Suggested,0,0,0,0
VID00161,2024-07-13,Video Title 161,Music,366,24982,780,230,209,380823,5.56,228,1582.19,75.09,3.01,Search,121,1,1,0
VID00162,2022-09-05,Video Title 162,Gaming,788,118728,5999,2309,811,1725697,5.88,149,4914.02,99.45,0.84,Browse,204,0,0,0
VID00163,2023-05-23,Video Title 163,Motivation,878,8312,699,42,39,142085,4.85,372,858.91,21.4,2.57,Suggested,78,0,0,0
VID00164,2023-04-06,Video Title 164,Education,403,638,42,10,3,10795,4.91,278,49.27,1.14,1.79,Search,148,0,0,0
VID00165,2022-05-12,Video Title 165,Finance,831,80677,4386,1258,267,1218685,5.62,220,4930.26,197.74,2.45,Browse,179,0,0,0
VID00166,2023-11-24,Video Title 166,Food,699,123192,6901,1766,957,2180389,4.65,329,11258.38,330.07,2.68,Shorts,56,1,1,0
VID00167,2022-02-13,Video Title 167,Comedy,797,91528,2754,1816,514,1131372,7.09,191,4856.07,157.86,1.72,External,88,0,0,0
VID00168,2023-04-17,Video Title 168,Tech,1055,66917,3411,647,260,921721,6.26,274,5093.13,73.04,1.09,Search,48,0,0,0
VID00169,2023-03-28,Video Title 169,Vlog,541,67842,5105,685,431,928071,6.31,239,4503.96,67.03,0.99,Browse,62,0,0,0
VID00170,2022-01-15,Video Title 170,Gaming,419,75602,7423,467,753,1661582,3.55,288,6048.16,180.7,2.39,Suggested,29,1,0,0
VID00171,2022-05-26,Video Title 171,Finance,386,72767,6497,847,357,1237534,4.88,246,4972.41,160.51,2.21,Browse,56,1,0,1
VID00172,2022-05-01,Video Title 172,Review,404,58435,1849,520,542,1052882,4.55,162,2629.58,163.85,2.8,Suggested,219,1,0,0
VID00173,2023-04-14,Video Title 173,Review,581,53126,4935,539,218,1183207,3.49,254,3748.33,115.62,2.18,External,55,0,1,1
VID00174,2022-05-19,Video Title 174,Comedy,681,48122,4081,843,71,735810,5.54,312,4170.57,93.39,1.94,External,128,0,1,0
VID00175,2022-03-06,Video Title 175,Review,666,27381,2317,521,77,527572,4.19,248,1886.25,51.33,1.87,Browse,84,1,0,0
VID00176,2023-11-08,Video Title 176,Food,798,41579,2580,323,198,595687,5.98,296,3418.72,36.23,0.87,Browse,202,0,0,0
VID00177,2022-05-26,Video Title 177,Music,603,788,45,8,2,17949,3.39,187,40.93,1.34,1.7,Suggested,211,1,0,0
VID00178,2024-11-18,Video Title 178,Review,948,47049,2409,890,47,548356,7.58,248,3241.15,161.63,3.44,Suggested,180,0,0,0
VID00179,2023-05-03,Video Title 179,Comedy,536,20342,703,120,187,436523,3.66,212,1197.92,64.25,3.16,Search,141,0,0,0
VID00180,2023-07-25,Video Title 180,Music,1252,16892,776,107,145,266856,5.33,294,1379.51,28.54,1.69,Search,103,0,0,0
VID00181,2024-09-21,Video Title 181,Food,750,55396,2618,412,425,770458,6.19,251,3862.33,132.23,2.39,Search,36,1,0,0
VID00182,2023-03-15,Video Title 182,Comedy,394,91760,5862,1278,230,1785214,4.14,291,7417.27,283.33,3.09,Browse,256,1,0,0
VID00183,2022-09-28,Video Title 183,Review,342,77549,6383,562,161,1065233,6.28,315,6785.54,154.43,1.99,Search,66,0,0,0
VID00184,2024-08-26,Video Title 184,Motivation,715,2884,182,56,4,69326,3.16,291,233.12,2.45,0.85,Browse,166,0,0,0
VID00185,2023-05-13,Video Title 185,Tech,546,20311,691,237,152,248300,7.18,266,1500.76,20.33,1.0,External,194,1,0,0
VID00186,2024-08-26,Video Title 186,Review,771,78223,7591,979,732,1299385,5.02,190,4128.44,170.37,2.18,Shorts,81,0,0,0
VID00187,2024-04-13,Video Title 187,Comedy,713,20525,1970,178,100,401663,4.11,249,1419.65,70.14,3.42,External,192,1,0,0
VID00188,2023-01-25,Video Title 188,Tech,582,43261,3675,521,89,779477,4.55,218,2619.69,115.58,2.67,Browse,173,0,1,0
VID00189,2022-07-13,Video Title 189,Tech,396,66501,6609,992,373,922343,6.21,229,4230.2,65.93,0.99,Browse,240,0,0,1
VID00190,2022-07-18,Video Title 190,Music,236,20949,1426,340,86,409160,4.12,227,1320.95,27.47,1.31,Shorts,87,0,1,0
VID00191,2024-06-01,Video Title 191,Food,492,53161,5177,866,232,1089364,3.88,191,2820.49,153.24,2.88,Suggested,29,0,0,0
VID00192,2023-12-27,Video Title 192,Review,805,9979,352,136,65,175996,4.67,132,365.9,30.65,3.07,Suggested,84,0,0,0
VID00193,2024-05-17,Video Title 193,Finance,651,31958,1776,593,238,755508,3.23,209,1855.34,78.87,2.47,Suggested,134,0,0,0
VID00194,2024-04-21,Video Title 194,Motivation,301,59593,2727,1028,118,682623,7.73,261,4320.49,151.36,2.54,Search,124,0,0,0
VID00195,2024-08-14,Video Title 195,Food,641,2210,96,36,2,42912,4.15,169,103.75,1.94,0.88,Suggested,92,0,1,1
VID00196,2022-04-21,Video Title 196,Finance,692,63214,2519,368,628,871917,6.25,250,4389.86,191.98,3.04,Search,0,0,0,0
VID00197,2022-07-21,Video Title 197,Finance,387,49410,3635,252,152,783042,5.31,364,4995.9,144.69,2.93,Search,152,1,0,1
VID00198,2022-05-05,Video Title 198,Vlog,636,66574,5638,545,98,1472876,3.52,311,5751.25,99.82,1.5,Suggested,258,0,0,0
VID00199,2024-04-04,Video Title 199,Music,613,56717,3997,848,153,946861,4.99,348,5482.64,153.9,2.71,Suggested,152,0,0,0
